Date,Open,High,Low,Close,Adj Close,Volume
2019-10-31,11890.450195,11945.000000,11855.099609,11877.450195,11877.450195,1414800
2019-11-01,11886.599609,11918.299805,11843.349609,11890.599609,11890.599609,855300
2019-11-04,11928.900391,11989.150391,11905.349609,11941.299805,11941.299805,823100
2019-11-05,11974.599609,11978.950195,11861.900391,11917.200195,11917.200195,632000
2019-11-06,11911.500000,12002.900391,11850.250000,11966.049805,11966.049805,603400
2019-11-07,12021.099609,12021.400391,11946.849609,12012.049805,12012.049805,563000
2019-11-08,11987.150391,12034.150391,11888.750000,11908.150391,11908.150391,789300
2019-11-11,11879.200195,11932.650391,11853.950195,11913.450195,11913.450195,549000
2019-11-13,11908.299805,11946.799805,11823.200195,11840.450195,11840.450195,659000
2019-11-14,11858.750000,11895.650391,11802.650391,11872.099609,11872.099609,559500
2019-11-15,11904.200195,11973.650391,11879.250000,11895.450195,11895.450195,580200
2019-11-18,11915.150391,11946.200195,11867.599609,11884.500000,11884.500000,514400
2019-11-19,11919.450195,11958.849609,11881.750000,11940.099609,11940.099609,613900
2019-11-20,12004.750000,12038.599609,11966.049805,11999.099609,11999.099609,646700
2019-11-21,12025.650391,12028.200195,11956.900391,11968.400391,11968.400391,557700
2019-11-22,11967.299805,11968.099609,11883.500000,11914.400391,11914.400391,486800
2019-11-25,11922.450195,12084.500000,11919.750000,12073.750000,12073.750000,534300
2019-11-26,12110.200195,12132.450195,12006.349609,12037.700195,12037.700195,1201300
2019-11-27,12068.500000,12114.900391,12055.150391,12100.700195,12100.700195,584200
2019-11-28,12132.099609,12158.799805,12099.950195,12151.150391,12151.150391,620500
2019-11-29,12146.200195,12147.400391,12017.400391,12056.049805,12056.049805,804400
2019-12-02,12137.049805,12137.150391,12023.700195,12048.200195,12048.200195,720900
2019-12-03,12067.650391,12068.599609,11956.400391,11994.200195,11994.200195,605800
2019-12-04,11969.950195,12054.700195,11935.299805,12043.200195,12043.200195,747200
2019-12-05,12071.250000,12081.200195,11998.750000,12018.400391,12018.400391,562200
