state,prod_year,rate_class,num_oil_wells,oil_prod_BBL,ADgas_prod_MCF,oil_wells_dayson,num_gas_wells,NAgas_prod_MCF,conden_prod_BBL,gas_wells_dayson
AK,2005,14,117,2776238,2399090,42034,33,4156468,100460,10976
AK,2005,15,259,11741044,13385217,93438,42,10783321,331669,13504
AK,2005,16,394,32054739,49795250,140677,92,46644863,2017568,31968
AK,2005,17,268,41649536,71808024,96151,110,110130145,4767161,38778
AK,2005,18,117,33072123,63187572,40886,147,309187347,10211010,51523
AK,2005,19,53,29175867,41034750,16402,234,993785111,34242156,84229
AK,2005,20,32,39491637,68755121,11133,165,1223488634,41783096,56643
AK,2005,21,1,1330639,2602725,275,36,507978264,18397858,12899
AK,2005,22,1,3264912,16312290,365,5,104755136,8182694,1825
AK,2004,1,11,1058,790,4026,15,5516,56,3991
AK,2004,2,4,1708,3073,1403,2,5855,137,732
AK,2004,3,7,6135,5542,2502,4,13571,357,1127
AK,2004,4,7,8781,16497,2256,3,30908,893,1098
AK,2004,5,4,6614,6536,1035,2,22072,459,610
AK,2004,6,9,21850,31774,2898,2,17774,1822,518
AK,2004,7,6,19296,29956,2196,3,34599,1242,670
AK,2004,8,11,40403,26520,3292,4,86398,4463,1464
AK,2004,9,5,24781,38879,1830,3,115427,0,1098
AK,2004,10,10,70190,75388,3660,6,274466,1429,2196
AK,2004,11,7,64780,30298,2562,6,264474,12073,2074
AK,2004,12,12,107128,67346,3507,11,538792,31052,3415
AK,2004,13,22,308673,330718,8052,8,708368,13113,2836
AK,2004,14,101,2297926,2271731,35561,21,2849595,44902,6862
AK,2004,15,243,10795417,13229054,86191,49,12345824,367065,16561
AK,2004,16,385,32462165,47053494,138962,67,30908265,1604816,22143
AK,2004,17,287,43966125,76375103,102335,132,124038653,5662255,44385
AK,2004,18,129,36732344,62785758,43988,156,312661122,12098801,54810
AK,2004,19,66,36616223,54178864,20167,215,850004875,32496485,74085
AK,2004,20,25,28144093,49343179,8450,185,1328565520,46565576,63475
AK,2004,21,6,12240267,41857243,1983,43,606959210,23156572,15494
AK,2004,22,2,6440642,25386744,732,0,0,0,0
AK,2003,1,9,743,1728,3102,34,15897,397,10797
AK,2003,2,1,574,429,365,4,11219,212,1460
AK,2003,3,8,8229,10183,2920,8,22590,429,1581
AK,2003,4,2,2159,3431,549,6,32822,3287,1734
AK,2003,5,5,9016,13209,1580,3,16457,1321,577
AK,2003,6,4,6957,11284,970,1,4323,0,90
AK,2003,7,4,12392,19546,1368,0,0,0,0
AK,2003,8,6,23708,20414,1976,6,112929,3826,1703
AK,2003,9,15,73980,67308,5079,9,293959,4180,3163
AK,2003,10,6,36290,49581,2006,1,27861,4436,365
AK,2003,11,14,99488,119285,4408,5,272930,4783,1825
AK,2003,12,23,217242,233647,7267,11,590211,19784,3434
AK,2003,13,19,237491,194459,6016,11,954254,17809,4015
AK,2003,14,97,2208787,1926847,33640,31,3821943,59609,10125
AK,2003,15,217,9988871,9760230,78168,38,8300092,451369,11952
AK,2003,16,378,31848837,44942890,135841,87,39998795,2241216,29288
AK,2003,17,274,42675348,73442076,98621,105,97509581,4441310,34338
AK,2003,18,151,41774717,78293422,50401,174,338850563,15118368,60649
AK,2003,19,58,33434413,53343360,18785,227,895183801,36699782,78168
AK,2003,20,33,41716347,51675624,11440,188,1391030512,53612328,65464
AK,2003,21,10,20547069,65116552,3560,28,379531393,14314370,10010
AK,2003,22,1,2887954,11040297,365,1,28914169,793075,365
AK,2002,1,14,615,785,4745,18,9608,273,5560
